,Time,Command,Righthip,Pitch,Pitchdot
168,4236,2.625,-1.2857142857142847,-2.625,0.6861325621902709
169,4262,3.1875,1.0714285714285694,-3.1875,0.5214171140333059
170,4289,4.0625,0.8571428571428541,-4.0625,0.4526947747360292
171,4315,5.0,1.5,-5.0,0.6621342849753488
172,4341,5.75,2.142857142857146,-5.75,0.7112216701876893
173,4369,7.0,1.9285714285714306,-7.0,0.729765793490129
174,4394,8.125,3.857142857142854,-8.125,0.743946593662583
175,4421,9.0,3.642857142857146,-9.0,0.8224864100023278
176,4446,10.5625,3.857142857142854,-10.5625,-0.050178215994836975
177,4472,11.8125,4.928571428571431,-11.8125,1.4311699866353502
178,4499,14.125,4.928571428571431,-14.125,1.5435255572324853
179,4525,17.0625,5.142857142857139,-17.0625,1.7420567596468401
180,4552,18.0625,6.857142857142861,-18.0625,1.040652566501619
181,4579,20.375,9.642857142857139,-20.375,1.1660981064887115
182,4605,22.1875,12.857142857142861,-22.1875,0.9653852425093635
183,4630,22.8125,15.42857142857143,-22.8125,0.2716168648416175
184,4657,23.0625,18.0,-23.0625,0.0545415391248228
185,4682,22.6875,19.714285714285708,-22.6875,-0.37306412761378793
186,4709,21.9375,21.0,-21.9375,-0.6719517620178169
187,4737,20.8125,21.214285714285708,-20.8125,-0.65558930028037
188,4764,19.875,21.0,-19.875,-0.7003133623627247
189,4789,18.75,21.214285714285708,-18.75,-0.7352199474026113
190,4815,18.0,21.0,-18.0,-0.6261368691529657
191,4840,17.0,21.0,-17.0,-0.5683228376806536
192,4866,16.0,21.64285714285714,-16.0,-0.6534076387153771
193,4891,15.25,20.785714285714292,-15.25,-0.6686792696703275
194,4917,14.0625,21.0,-14.0625,-0.7155849933176751
195,4942,13.1875,20.785714285714292,-13.1875,-0.8355763793922852
196,4968,11.5625,20.57142857142857,-11.5625,-1.0210176124166828
197,4994,10.3125,19.92857142857143,-10.3125,-1.0231992739816758
198,5021,8.5,17.35714285714286,-8.5,-1.5304355878425278
199,5046,5.75,15.642857142857139,-5.75,-1.574068819142386
200,5073,4.375,14.142857142857139,-4.375,-1.5587971881874356
201,5098,1.625,11.142857142857139,-1.625,-1.6406094968746698
202,5125,0.0625,9.0,-0.0625,-1.0810133054539879
203,5152,-1.1875,4.714285714285708,1.1875,-0.8181230868723419
204,5178,-2.125,3.0,2.125,-0.2596177262341565
205,5205,-1.5625,1.5,1.5625,0.6883142237552637
206,5232,-0.25,0.2142857142857153,0.25,0.9730210579868387
207,5258,1.5625,0.0,-1.5625,1.1988230299636051
208,5284,3.0,-0.2142857142857153,-3.0,1.2435470920459597
209,5312,4.9375,-1.0714285714285694,-4.9375,1.1835513990086548
210,5337,7.0,0.8571428571428541,-7.0,1.3395402009056478
211,5364,8.375,1.7142857142857153,-8.375,1.4638949101102439
212,5389,10.9375,4.285714285714292,-10.9375,1.7769633446867268
213,5416,12.9375,4.928571428571431,-12.9375,2.028945255443408
214,5441,16.3125,6.0,-16.3125,1.9416787928436916
215,5467,18.5625,6.857142857142861,-18.5625,1.2228213071785272
216,5495,19.9375,8.785714285714292,-19.9375,1.3144510929082294
217,5523,22.3125,12.214285714285708,-22.3125,1.054833366674073
218,5548,23.3125,15.0,-23.3125,0.29888763440402893
219,5574,23.25,16.92857142857143,-23.25,-0.4308781590861001
220,5600,22.5,20.35714285714286,-22.5,-0.346884188833873
221,5627,22.25,21.85714285714286,-22.25,-0.5934119456780721
222,5652,21.0625,22.07142857142857,-21.0625,-0.8366672101747817
223,5678,20.0625,22.07142857142857,-20.0625,-0.8966629032120869
224,5705,18.75,22.07142857142857,-18.75,-0.7832165018324554
225,5731,17.5625,21.85714285714286,-17.5625,-0.7264933011426397
226,5758,16.8125,21.214285714285708,-16.8125,-0.7199483164476609
227,5784,15.4375,21.64285714285714,-15.4375,-0.9686577348568529
228,5811,13.875,21.42857142857143,-13.875,-0.8890270877346116
229,5836,12.8125,21.0,-12.8125,-1.004655150679236
230,5863,10.875,20.14285714285714,-10.875,-1.2708178616083712
231,5888,9.125,18.0,-9.125,-1.6766069126970529
232,5916,6.3125,16.714285714285708,-6.3125,-1.648245312352145
233,5941,3.1875,16.5,-3.1875,-2.0016744858809967
234,5968,1.375,11.57142857142857,-1.375,-1.490074848890159
235,5993,-1.0,9.642857142857139,1.0,-1.4028083862904424
236,6019,-2.3125,6.0,2.3125,-1.0897399517139594
237,6044,-3.75,3.642857142857146,3.75,-0.33161255787892263
238,6070,-3.9375,0.8571428571428541,3.9375,0.12435470920459599
239,6095,-3.4375,-1.5,3.4375,0.5966844380255614
240,6122,-2.25,-3.0,2.25,0.6839509006252779
241,6147,-1.625,-2.7857142857142847,1.625,0.6752242543653062
242,6173,-0.1875,-2.7857142857142847,0.1875,1.0090184738092218
243,6198,0.9375,-2.142857142857146,-0.9375,1.0330167510241437
244,6232,3.0,-2.142857142857146,-3.0,0.918479518862016
245,6259,4.375,-0.8571428571428541,-4.375,1.521708941582556
246,6286,6.6875,0.8571428571428541,-6.6875,1.4300791558528538
247,6312,9.5,2.7857142857142847,-9.5,1.8816830998063865
248,6338,11.375,2.5714285714285694,-11.375,1.667880266437081
249,6364,14.375,4.071428571428569,-14.375,1.9460421159736774
